Index,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
351,Alejandro Sanz,"3,592,290,895",0,380,0,6,310722
352,Lin-Manuel Miranda,"3,592,135,787","378,905",95,0,14,310722
353,Ricky Martin,"3,568,196,300","2,478,742,591",278,0,8,150922
354,Jessie J,"3,563,453,628",0,117,1,7,130922
355,Lost Frequencies,"3,556,401,142","137,641,031",421,0,10,310722
356,Danny Ocean,"3,541,587,214","939,497,796",61,1,8,100922
357,Maiara & Maraisa,"3,531,976,169","4,423,329",156,0,12,100822
358,Steve Aoki,"3,527,393,369","1,343,266",437,0,6,310722
359,Lil Mosey,"3,517,585,999","463,313,203",50,1,5,310722
360,Marc Anthony,"3,504,819,748","14,222,939",197,0,8,80922
361,H.E.R.,"3,476,314,834","3,118,921,754",102,0,8,310722
362,Nelly,"3,464,996,085","62,804,762",211,0,9,150922
363,Charli XCX,"3,464,311,470",0,219,0,8,170922
364,Pablo Alborán,"3,437,809,914","47,313,864",173,0,8,160922
365,2 Chainz,"3,429,709,034","5,081,836,495",409,0,7,310722
366,Train,"3,423,789,545",0,185,1,8,310722
367,Passenger,"3,415,074,486","184,240,949",233,1,2,310722
368,Lukas Graham,"3,410,790,500","3,924,285,642",66,1,4,310722
369,Mark Ronson,"3,400,585,305","98,804,484",151,1,4,310722
370,CNCO,"3,399,584,158","102,139,066",89,0,7,190922
371,Foster The People,"3,393,389,914","25,567,335",96,1,7,310722
372,Calum Scott,"3,392,200,109",0,84,0,6,310722
373,Dire Straits,"3,390,427,781","85,729,842",107,0,5,190922
374,Alec Benjamin,"3,389,530,976","2,245,144,528",46,1,8,260822
375,Daniel Caesar,"3,387,218,135","3,009,354,038",37,0,8,310722
376,Bee Gees,"3,383,127,730","29,797,048",470,0,6,270822
377,Tate McRae,"3,371,616,079","2,028,969,469",53,0,8,100922
378,Bryan Adams,"3,365,887,458","739,286,985",394,0,8,100922
379,Summer Walker,"3,363,193,393","517,135,427",91,0,9,110922
380,Trey Songz,"3,357,005,694","1,295,854,047",268,0,7,160922
381,Bob Dylan,"3,352,960,099","498,204,068","1,308",0,6,130922
382,Grupo Firme,"3,348,434,531","503,968,381",205,0,8,310722
383,Armin van Buuren,"3,340,463,682","673,800,705","2,051",0,4,210822
384,Rels B,"3,327,775,726","1,884,183,028",107,0,5,310722
385,Boyce Avenue,"3,287,510,482","6,192,858,304",450,0,3,200922
386,Pentatonix,"3,285,741,959","4,265,483",201,0,2,120922
387,Ski Mask The Slump God,"3,276,018,075","302,858,918",73,0,7,190922
388,R3HAB,"3,274,814,964","540,870,550",336,0,4,310722
389,LANY,"3,270,335,409","2,141,323,366",86,0,8,170822
390,Tainy,"3,255,357,184","5,360,562,962",44,1,5,60922
